qid,pergunta,votos,nRespostas,views,tags,descricao,lastModifyed,socreatedAt
77187,Erro ao fazer deploy no Wildfly 8: Failed to define class,5,0,817,"['java', 'primefaces', 'jsf-2.2', 'java-8', 'wildfly']","Estou obtendo o erro abaixo ao tentar realizar deploy da minha aplicação, após migrar do JBoss AS 7.1 para o Wildfly 8.2 e do Java 7 para Java 8 e ainda não consegui identificar a origem deste erro. Estou usando Wildfly 8.2, Primefaces 5.1 e JSF 2.2. Alguém saberia me dizer o que pode estar acontecendo? pom.xml: web.xml:",2021-07-04 15:02:45Z,2015-07-29T12:41:13
77163,Como fazer o visual studio 2015 publicar apenas os arquivos que são mais atuais?,5,1,1,"['visual-studio-2015', 'deploy', 'publish']","Coloquei um projeto no visual studio 2015 para experimentar a ferramenta. É uma aplicação asp.net mvc, faço a publicação dela direto no servidor por FTP. Botão direito no projeto, publish, aí criei um profile FTP e falei para não excluir os arquivos antes de publicar. No visual studio 2013 isso é o suficiente para ele não publicar tudo toda vez, no 2015 ele está publicando tudo, não deleta os arquivos como solicitado, mas sobre escreve todos eles. Alguém sabe como fazer isso não acontecer?",2017-03-13 15:04:08Z,2015-07-29T04:20:03
75629,Visualização 3D no Angular Google Maps,5,1,157,"['javascript', 'angularjs', 'google-maps', 'angular-google-maps']","Eu utilizo Angular Google Maps para indicar a localização de vários prédios no campus de uma universidade. Minha inicialização é a seguinte: Esse procedimento está funcionando, e permite a vizualização da seguinte maneira:  Entretanto, recentemente percebi que o Google Maps possui informação 3D da área coberta, e eu gostaria que o mapa fosse renderizado da seguinte maneira:  É possível, via via Angular Google Maps, configurar a inicialização do meu mapa de maneira a exibi-lo da maneira indicada? ...Seria possível girar a ""câmera"" programaticamente centrando na posição indicada de maneira a fazer o prédio girar? Link de referência para a área indicada:
https://www.google.com/maps/@40.9570608,-76.8816097,179a,20y,180h,41.69t/data=!3m1!1e3 Disclaimer: Este é um cross-post do SO original, 
3D map visualization in Angular Google Maps
",2021-05-02 10:01:15Z,2015-07-20T12:55:13
71776,Como verificar se o Eval possui valor nulo?,5,2,407,['asp.net'],"Estou usando a propriedade Eval para carregar uma campo do GridView instanciado de um objeto, o problema é quando o objeto não possui valor , ao em vez de aparecer em branco queria mostrar um traço indicando que não foi encontrado nada. o código que estou usando é este ",2015-07-29 14:59:10Z,2015-06-29T15:07:27
70893,Como criar e exibir uma lista de emails com saída json com as informações do formulário,5,1,331,"['php', 'javascript']","O objetivo do projeto é gerar uma lista de ""emails"" vindo do formulário de contato, para mostrar numa lista  do tipo li com os seguintes dados:
 - nome
 - assunto
 - horário do envio Preciso também que o usuário clique em um determinado campo que altere o status de 0 para 1 (significando que foi lido). O problema está acontecendo no último passo, ao pegar o id do usuário, não está atualizando os dados, segue meu código em javascript: Nele estou adicionando um evento para a div res, esta div é gerada pelo javascript. Todas essas requisições eu trato na página em PHP request.php conforme é apresentado logo abaixo: Nesta página eu faço um switch, no qual faço a requisição para cada entrada por método GET, o erro que está ocorrendo é no case vis:. Como podem ver, aparentemente, está faltando parte do código, entretanto, estou solicitando que o código da mensagem seja exibido em um alert. Como solucionar isto?",2021-05-30 12:04:00Z,2015-06-24T11:54:19
69836,Erro com Asp.NET Web.API + AngularJS,5,1,747,"['c#', 'angularjs', 'asp.net-web-api']","Tenho meu método C# assim Tenho minha factory assim: Ao chamar em meu controller: Quando chamo a aplicação, sem ativar o debug no console do navegador, sempre ocorre erro 500 e não salva a informação na base de dados. http://localhost:54100/api/Categoria/Post 500 (Internal Server Error) Mas se eu ativar o modo debug no VS, dá o mesmo erro no console, mas a informação é salva na base de dados. O que está errado? Tenho que configurar algo na app web.api?",2017-03-13 15:04:08Z,2015-06-18T01:09:39
63593,Plugin jQuery alterar atributos com $.extend,5,1,127,"['javascript', 'jquery']","Criei um objeto em um plugin acima de .fn. Pois geralmente são criados dentro os objetos daí fazemos o seguinte: Mas meu objeto, foi criado acima: Como faço para definir os atributos do objeto, pois para pegar faço assim dentro da função: m.seletor. Mas para alterar como que tenho que fazer? Correção:
Bastava usar da seguinte maneira: Meu problema mesmo é: Como que faço para passar este objeto alterado para a função INIT()? Terei que criar outro objeto, ou o quê?",2021-05-30 12:04:00Z,2015-05-12T21:14:59
58895,Como atualizar o canvas?,5,2,769,"['javascript', 'html5', 'canvas']","Em um canvas, adicionei 10 pequenos quadrados, mas quero também poder alterar a posição desses quadrados continuamente, e que essa alteração seja desenhada na tela sempre quando o fizer (não preciso necessariamente de uma animação, apenas entender como posso atualizar o canvas sempre que quiser). Como posso fazer isso? ",2017-03-13 15:04:08Z,2015-04-16T22:36:40
49048,MoneyMask não Funciona no Device,5,1,111,"['jquery', 'apache-cordova', 'jquery-mobile', 'jquery-mask-plugin']","O Plugin Jquery não funciona no device, alguém saberia como resolver isso? A questão é o seguinte, pesquisei sobre o  porque de o plugin MoneyMask não funcionar dentro do device e descobri que os plugins de mascara utilizam o evento Keydown que retorna um objeto que contem o seguinte elemento: Retorna sempre 0 no Android 4.0+ o plugin não funciona.
 Alguém saberia como resolver?",2021-05-02 10:01:15Z,2015-02-02T03:00:34
49023,Como compilar C/C++ para Linux/Mac OS em um Windows?,5,1,348,"['windows', 'cross-platform', 'gcc', 'mingw']","O título diz tudo. Tenho código que pode ser compilado nas duas (três?) plataformas e desejo fazê-lo direto do Windows apenas usando o GCC (MinGW, no caso). Seria isso possível, em relação a cross-compiling? Como o faria no meu caso?",2021-05-02 10:01:15Z,2015-02-01T17:53:39
