qid,pergunta,votos,nRespostas,views,tags,descricao,lastModifyed,socreatedAt
112578,Servidor de autenticação OAuth 2 em ASP.NET Web API,9,0,981,"['asp.net', 'autenticação', 'asp.net-web-api', 'oauth2']","A empresa que trabalho desenvolver aplicativos internos, porém por questões de políticas, teremos um subdomínio para tratar de autenticações como por exemplo: login.dominio.com.br onde terá um app responsável por administrar os dados do cliente em um banco separado dos outros apps. Dessa forma estou estudando mais a fundo Oauth, para entender melhor como funciona. Fiz alguns teste locais e pelo que entendi no modo simples o trecho de código abaixo que se localiza na classe Startup.cs configura o servidor de autorização:           A classe AuthorizationServerProvider.cs fica responsável por acessar o banco e fazer as validações. A primeira pergunta é: Eu preciso usar necessáriamente o ASP.NET Identity para administrar o meu banco? ou posso utilizar a documentação de implementação do Oauth junto ao AuthorizationServerProvider.cs para armazenar de forma manual no banco?  A outra questão é se consigo achar um modelo ou um post completo de como fazer toda essa implementação de forma que atenda esses requisitos? Pois tudo que acho na internet é apenas a configuração para outros providers como Facebook ou Google.  A questão é apenas ""Criar meu próprio provider de autenticação"", consumir seria outra etapa.",2020-03-23 00:08:58Z,2016-02-11T00:45:43
43371,Construir Lambda Expression complexa,9,1,788,"['c#', 'expressões-lambda']","Estou tentando construir uma Lambda Expression que é um pouco complexa e estou tendo dificuldades. O objetivo é esta expressão: Porém, em RunTime, eu não sei o nome da lista que no exemplo é Contract_Rates, a questão é que preciso varrer as coleções de um objeto, já possuo um método que preenche a variável Collections (exibido no código abaixo) e verificar se esta é uma coleção que implementa IHasCostCenter, caso positivo, efetuar a Lambda Expression citada. O que tenho até agora é: Porém não consigo desenvolver corretamente como obtenho o SELECT da expressão x.Contract_Rates.Select(y => y.CostCenterId) e como obtenho o ANY da expressão sValues.Any(y => x.Contrato_Rateios.Select(z => z.CentroCustoId).Contains(y)) Qualquer ajuda será apreciada.",2021-04-29 09:05:05Z,2014-12-09T13:11:56
41900,Exportar relatório do ReportViewer para CSV,9,2,431,"['c#', 'winforms', 'reportviewer']","No ReportViewer usando Winforms, quando crio o relatório só tenho a opção de exportar para PDF, Excel e Word e preciso adicionar a opção de exportar em CSV.",2021-06-20 12:34:03Z,2014-11-26T10:32:20
439557,Como usar o AWS SDK C++ XRay em uma “Layer” implementada em C++ de uma AWS Lambda em Python?,8,0,92,"['python-3.x', 'c++', 'aws', 'cmake', 'boost']","Minha equipe implementou um Pipeline usando Visão Computacional (OpenCV) e uma DNN (Rede Neural) no Tensorflow e Keras usando C++. Esse Pipeline é uma ""Layer"" da AWS usada por uma Lambda Function implementada em Python e essa ""Layer"" é invocada usando a biblioteca Boost. Também foi criado um contêiner no docker (amazonlinux) com todos os requisitos (OpenCV, Boost, Python 3.7, serverless, etc) para fazer a build do código do Pipeline (usando cmake). Tudo estava funcionando bem, a build do Pipeline e das Lambda Functions ocorria sem erros. Bom, vamos ao detalhamento da minha pergunta: para melhorar o desempenho do Pipeline, eu quero medir a duração/tempo de várias etapas desse Pipeline. Então resolvi fazer isso usando o aws-sdk-cpp-xray, pois o AWS X-Ray é um ótimo recurso para atingir meu objetivo. Antes de iniciar a codificação, eu adicionei e fiz a build do aws-sdk-cpp na minha máquina local (MacOS) e no mesmo contêiner (amazonlinux) do docker (via dockerfile / docker-compose) que uso para fazer a build do Pipeline e as Lambda Functions (abaixo está a parte que adicionei no Dockerfile): Em seguida, coloquei as referências do aws-sdk-cpp-xray no CMakeList.txt do meu projeto c ++ (o pipeline) conforme abaixo: Por fim, tentei codificar o XRay usando o aws-sdk-cpp-xray em c++ de várias formas dentro do projeto do Pipeline, mas sem muito sucesso (devido à falta de exemplos do XRay em c++ da própria Amazon). E quando tentava testar a execução da Lambda Function que invoca Layer do Pipeline com  as novas implementações do XRay eu comecei a receber o erro abaixo: Runtime.ImportModuleError: Unable to import module 'functions/myfunction': /opt/lib/lib.so: undefined symbol:
_ZTVN3Aws35AmazonSerializableWebServiceRequestE Onde: Algumas hipóteses: Parece que o problema de execução é causado pela instalação do aws-sdk-cpp no Dockerfile. Ou talvez tenha sido causado pelas entradas no arquivo de projeto do Pipeline CMakeList.txt... Ou até falta adicionar alguns arquivos * .so, * .a ou .so ao pacote da Layer (Pipeline). Mas, devido à falta de documentação / manual e nada encontrado sobre os erros acima, estou pedindo ajuda com algum exemplo sobre o uso do AWS XRay usando C++ ou mesmo alternativas para implementar essa medição de tempo. Obs.: Eu também pedi exemplos na home do GitHub da AWS SDK. Por favor, se possível, me ajude votando no pedido do exemplo: https://github.com/awsdocs/aws-doc-sdk-examples/issues/1012 Obrigado!",2018-06-29 18:20:13Z,2020-03-12T12:53:16
310790,Erro: ValueFactory tentou acessar a propriedade Value desta instância,8,0,148,"['c#', 'xamarin', 'xamarin-forms', 'xamarin.android']",Toda vez que crio qualquer projeto Xamarin no Visual Studio 2017 é exibido o seguinte erro ao executar a aplicação: Por quê acontece este erro? O que devo fazer para solucionar?,2020-03-23 00:08:58Z,2018-06-29T16:00:16
59460,Utilizar biblioteca Jquery com AngularAMD,8,2,205,"['javascript', 'angularjs', 'requirejs']","Estou a implementar AngularJS + RequireJs através do AngularAMD. Quero adicionar a biblioteca Jquery mas retorna o seguinte erro quando uso o ""$"": Error: $ is not defined Tenho o main.js configurado da seguinte forma: O que está errado?",2021-06-20 12:34:03Z,2015-04-21T18:28:41
58376,Recuperar mensagens Error via json no Angular,8,2,865,"['javascript', 'ruby-on-rails', 'angularjs']","Estou tentando realizar um cadastro utilizando Angularjs, mas quero pegar as validações que estão no meu modelo no rails. Mas estou com dificuldades: Estou com o seguinte erro na function failure:  TypeError: Cannot read property '$invalid' of undefined na linha return s.$invalid && s.$dirty ? ""error"" : """";",2021-06-20 12:34:03Z,2015-04-14T16:20:27
8495,Simular erro de saldo insuficiente no PayPal,8,0,217,"['android', 'pagamento-online']","Estou desenvolvendo um aplicativo para Android no qual eu preciso integrar o PayPal na parte de compra, estou usando o PayPal Sandbox para testar, parecia estar funcionando perfeitamente. Crio minha conta pessoal e a conta business e as transações fakes estão funcionando, pois estou checando no site do PayPal Developer.  Ao desenvolver a parte de tratamento de erros o primeiro erro que eu pretendia tratar era a questão de fundos insuficientes... mas o problema é que mesmo a minha conta de teste pessoal estando com fundos de R$0,00 as transações fakes continuam a ser confirmadas e o dinheiro é repassado. O que eu posso estar errando ou o que posso fazer para simular esses erros no Android?",2021-04-29 09:05:05Z,2014-03-07T20:20:27
56313,Teclado não reconhece Edittext,8,1,235,"['java', 'android']","Tenho vários EditText dentro de um item da minha lista ExpandleListView.
Sempre ao clicar nos EditText aparece a mensagem abaixo e não é digitado texto no campo: getSelectedText on inactive InputConnection
  getTextBeforeCursor on inactive InputConnection
  getTextBeforeCursor on inactive InputConnection",2021-04-29 09:05:05Z,2015-03-30T14:58:51
232612,Dúvida com ng-repeat,8,1,150,"['html', 'angularjs', 'ng-repeat']","Tenho o seguinte código: E no meu controller tenhos os array de json: este é o resultado:
 como posso fazer para que os espaços vazios (quando um array tem mais itens que os outros), fiquem na parte inferior? CSS",2021-06-20 12:34:03Z,2017-08-27T13:26:13
